gutenberg_id,line,section,word,first_appearance,gt_est
84,61,Letter 1,of,0,0.5609756097560976
84,61,Letter 1,promise,1,0.5564516129032258
84,61,Letter 1,my,0,0.56
84,61,Letter 1,daydreams,1,0.5555555555555556
84,61,Letter 1,become,1,0.5590551181102362
84,61,Letter 1,more,1,0.5625
84,61,Letter 1,fervent,1,0.5658914728682171
84,62,Letter 1,and,0,0.5692307692307692
84,62,Letter 1,vivid,1,0.5648854961832062
84,62,Letter 1,i,0,0.5681818181818182
84,62,Letter 1,try,1,0.5639097744360902
84,62,Letter 1,in,0,0.5671641791044776
84,62,Letter 1,vain,1,0.562962962962963
84,62,Letter 1,to,0,0.5661764705882353
84,62,Letter 1,be,1,0.5620437956204379
84,62,Letter 1,persuaded,1,0.5652173913043478
84,62,Letter 1,that,0,0.5683453237410072
84,62,Letter 1,the,0,0.5571428571428572
84,62,Letter 1,pole,1,0.5531914893617021
84,62,Letter 1,is,0,0.5563380281690141
84,62,Letter 1,the,0,0.5454545454545454
84,62,Letter 1,seat,1,0.5416666666666666
84,62,Letter 1,of,0,0.5448275862068965
84,63,Letter 1,frost,1,0.541095890410959
84,63,Letter 1,and,0,0.54421768707483
84,63,Letter 1,desolation,1,0.5405405405405406
84,63,Letter 1,it,1,0.5436241610738255
84,63,Letter 1,ever,1,0.5466666666666666
84,63,Letter 1,presents,1,0.5496688741721855
84,63,Letter 1,itself,1,0.5526315789473685
84,63,Letter 1,to,0,0.5555555555555556
84,63,Letter 1,my,0,0.551948051948052
84,63,Letter 1,imagination,1,0.5483870967741935
84,63,Letter 1,as,0,0.5512820512820513
84,63,Letter 1,the,0,0.5414012738853503
84,64,Letter 1,region,1,0.5379746835443038
84,64,Letter 1,of,0,0.5408805031446541
84,64,Letter 1,beauty,1,0.5375
84,64,Letter 1,and,0,0.5403726708074534
84,64,Letter 1,delight,0,0.5370370370370371
84,64,Letter 1,there,1,0.5276073619631901
84,64,Letter 1,margaret,1,0.5304878048780488
84,64,Letter 1,the,0,0.5333333333333333
84,64,Letter 1,sun,1,0.5301204819277109
84,64,Letter 1,is,0,0.5329341317365269
84,64,Letter 1,for,1,0.5297619047619048
84,64,Letter 1,ever,0,0.5325443786982249
84,65,Letter 1,visible,1,0.5235294117647059
84,65,Letter 1,its,1,0.5263157894736842
84,65,Letter 1,broad,1,0.5290697674418605
84,65,Letter 1,disk,1,0.5317919075144508
84,65,Letter 1,just,1,0.5344827586206896
84,65,Letter 1,skirting,1,0.5371428571428571
84,65,Letter 1,the,0,0.5397727272727273
84,65,Letter 1,horizon,1,0.536723163841808
84,65,Letter 1,and,0,0.5393258426966292
84,65,Letter 1,diffusing,1,0.5363128491620112
84,65,Letter 1,a,0,0.5388888888888889
84,66,Letter 1,perpetual,1,0.5359116022099447
84,66,Letter 1,splendour,1,0.5384615384615384
84,66,Letter 1,there,0,0.5409836065573771
84,66,Letter 1,for,0,0.532608695652174
84,66,Letter 1,with,0,0.5243243243243243
84,66,Letter 1,your,1,0.521505376344086
84,66,Letter 1,leave,1,0.5240641711229946
84,66,Letter 1,my,0,0.526595744680851
84,66,Letter 1,sister,0,0.5238095238095238
84,66,Letter 1,i,0,0.5157894736842106
84,66,Letter 1,will,0,0.5130890052356021
84,66,Letter 1,put,1,0.5052083333333334
84,67,Letter 1,some,1,0.5077720207253886
84,67,Letter 1,trust,1,0.5103092783505154
84,67,Letter 1,in,0,0.5128205128205128
84,67,Letter 1,preceding,1,0.5102040816326531
84,67,Letter 1,navigators,1,0.5126903553299492
84,67,Letter 1,there,0,0.5151515151515151
84,67,Letter 1,snow,1,0.5125628140703518
84,67,Letter 1,and,0,0.515
84,67,Letter 1,frost,0,0.5124378109452736
84,67,Letter 1,are,1,0.504950495049505
84,67,Letter 1,banished,1,0.5073891625615764
84,68,Letter 1,and,0,0.5098039215686274
84,68,Letter 1,sailing,1,0.5073170731707317
84,68,Letter 1,over,1,0.5097087378640777
84,68,Letter 1,a,0,0.5120772946859904
84,68,Letter 1,calm,1,0.5096153846153846
84,68,Letter 1,sea,1,0.5119617224880383
84,68,Letter 1,we,1,0.5142857142857142
84,68,Letter 1,may,1,0.5165876777251185
84,68,Letter 1,be,0,0.5188679245283019
84,68,Letter 1,wafted,1,0.5117370892018779
84,68,Letter 1,to,0,0.514018691588785
84,68,Letter 1,a,0,0.5116279069767442
84,68,Letter 1,land,1,0.5092592592592593
84,68,Letter 1,surpassing,1,0.511520737327189
84,68,Letter 1,in,0,0.5137614678899083
84,69,Letter 1,wonders,1,0.5114155251141552
84,69,Letter 1,and,0,0.5136363636363637
84,69,Letter 1,in,0,0.5113122171945701
84,69,Letter 1,beauty,0,0.509009009009009
84,69,Letter 1,every,1,0.5022421524663677
84,69,Letter 1,region,0,0.5044642857142857
84,69,Letter 1,hitherto,1,0.49777777777777776
84,69,Letter 1,discovered,1,0.5
84,69,Letter 1,on,1,0.5022026431718062
84,69,Letter 1,the,0,0.5043859649122807
84,69,Letter 1,habitable,1,0.5021834061135371
84,70,Letter 1,globe,1,0.5043478260869565
84,70,Letter 1,its,0,0.5064935064935064
84,70,Letter 1,productions,1,0.5
84,70,Letter 1,and,0,0.5021459227467812
84,70,Letter 1,features,1,0.5
84,70,Letter 1,may,0,0.502127659574468
84,70,Letter 1,be,0,0.4957627118644068
84,70,Letter 1,without,1,0.4936708860759494
84,70,Letter 1,example,1,0.4957983193277311
84,70,Letter 1,as,0,0.497907949790795
84,70,Letter 1,the,0,0.49583333333333335
84,71,Letter 1,phenomena,1,0.49377593360995853
84,71,Letter 1,of,0,0.49586776859504134
84,71,Letter 1,the,0,0.49382716049382713
84,71,Letter 1,heavenly,1,0.4918032786885246
84,71,Letter 1,bodies,1,0.49387755102040815
84,71,Letter 1,undoubtedly,1,0.4959349593495935
84,71,Letter 1,are,0,0.4979757085020243
84,71,Letter 1,in,0,0.49193548387096775
84,71,Letter 1,those,0,0.4899598393574297
84,71,Letter 1,undiscovered,1,0.484
84,72,Letter 1,solitudes,1,0.4860557768924303
84,72,Letter 1,what,1,0.4880952380952381
84,72,Letter 1,may,0,0.4901185770750988
84,72,Letter 1,not,1,0.4881889763779528
84,72,Letter 1,be,0,0.49019607843137253
84,72,Letter 1,expected,1,0.48828125
84,72,Letter 1,in,0,0.490272373540856
84,72,Letter 1,a,0,0.4883720930232558
84,72,Letter 1,country,1,0.4864864864864865
84,72,Letter 1,of,0,0.48846153846153845
84,72,Letter 1,eternal,1,0.48659003831417624
84,72,Letter 1,light,1,0.48854961832061067
84,72,Letter 1,i,0,0.49049429657794674
84,73,Letter 1,may,0,0.48863636363636365
84,73,Letter 1,there,0,0.4867924528301887
84,73,Letter 1,discover,1,0.4849624060150376
84,73,Letter 1,the,0,0.4868913857677903
84,73,Letter 1,wondrous,1,0.48507462686567165
84,73,Letter 1,power,1,0.48698884758364314
84,73,Letter 1,which,0,0.4888888888888889
84,73,Letter 1,attracts,1,0.4870848708487085
84,73,Letter 1,the,0,0.4889705882352941
84,73,Letter 1,needle,1,0.48717948717948717
84,73,Letter 1,and,0,0.48905109489051096
84,73,Letter 1,may,0,0.48727272727272725
84,74,Letter 1,regulate,1,0.4855072463768116
84,74,Letter 1,a,0,0.48736462093862815
84,74,Letter 1,thousand,1,0.4856115107913669
84,74,Letter 1,celestial,1,0.4874551971326165
84,74,Letter 1,observations,1,0.48928571428571427
84,74,Letter 1,that,0,0.49110320284697506
84,74,Letter 1,require,1,0.48936170212765956
84,74,Letter 1,only,1,0.4911660777385159
84,74,Letter 1,this,0,0.49295774647887325
84,75,Letter 1,voyage,1,0.49122807017543857
84,75,Letter 1,to,0,0.493006993006993
84,75,Letter 1,render,1,0.4912891986062718
84,75,Letter 1,their,1,0.4930555555555556
84,75,Letter 1,seeming,1,0.49480968858131485
84,75,Letter 1,eccentricities,1,0.496551724137931
84,75,Letter 1,consistent,1,0.49828178694158076
84,75,Letter 1,for,0,0.5
84,75,Letter 1,ever,0,0.49829351535836175
84,75,Letter 1,i,0,0.4965986394557823
84,76,Letter 1,shall,1,0.49491525423728816
84,76,Letter 1,satiate,1,0.4966216216216216
84,76,Letter 1,my,0,0.4983164983164983
84,76,Letter 1,ardent,1,0.49664429530201343
84,76,Letter 1,curiosity,1,0.4983277591973244
84,76,Letter 1,with,0,0.5
84,76,Letter 1,the,0,0.4983388704318937
84,76,Letter 1,sight,1,0.4966887417218543
84,76,Letter 1,of,0,0.49834983498349833
84,76,Letter 1,a,0,0.4967105263157895
84,76,Letter 1,part,1,0.49508196721311476
84,76,Letter 1,of,0,0.49673202614379086
84,76,Letter 1,the,0,0.495114006514658
84,76,Letter 1,world,1,0.4935064935064935
84,77,Letter 1,never,1,0.49514563106796117
84,77,Letter 1,before,1,0.4967741935483871
84,77,Letter 1,visited,1,0.4983922829581994
84,77,Letter 1,and,0,0.5
84,77,Letter 1,may,0,0.4984025559105431
84,77,Letter 1,tread,1,0.4968152866242038
84,77,Letter 1,a,0,0.4984126984126984
84,77,Letter 1,land,0,0.49683544303797467
84,77,Letter 1,never,0,0.4921135646687697
84,77,Letter 1,before,0,0.48742138364779874
84,77,Letter 1,imprinted,1,0.4827586206896552
84,77,Letter 1,by,0,0.484375
84,78,Letter 1,the,0,0.4797507788161994
84,78,Letter 1,foot,1,0.4782608695652174
84,78,Letter 1,of,0,0.47987616099071206
84,78,Letter 1,man,1,0.4783950617283951
84,78,Letter 1,these,1,0.48
84,78,Letter 1,are,0,0.4815950920245399
